date,group_name,model,prompt_tokens,completion_tokens,games_count,generated_at,input_games,input_leaderboard,input_predictions,input_picks,input_today,output_summary
2026-04-11,Test,gpt-4o-mini,5315,197,4,2026-04-11 21:39:56.378311+00,"Arsenal 1-2 Bournemouth | scorers: E. J. Kroupi 17', V. Gyokeres 35'(pen), A. Scott 74' || Liverpool 2-0 Fulham | scorers: R. Ngumoha 36', M. Salah 40' || Barcelona 4-1 Espanyol | scorers: F. Torres 9', F. Torres 25', P. Lozano 56', Lamine Yamal 87', M. Rashford 89' || Sevilla 2-1 Atletico Madrid | scorers: A. Adams 10'(pen), J. Bonar 35', N. Gudelj 45+2'",alice_wc rank1 season8 today2 streak1 exacts2 | bob_wc rank2 season4 today2 streak1 exacts0 | carol_wc rank3 season2 today2 streak1 exacts0 | Itay_Avioz rank4 season2 today1 streak-1 exacts0,alice_wc: Arsenal 1-2 Bournemouth pred=2-4 pts=1(auto); Liverpool 2-0 Fulham pred=0-1 pts=0(auto); Barcelona 4-1 Espanyol pred=1-2 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=4-3 pts=1(auto) || bob_wc: Arsenal 1-2 Bournemouth pred=3-4 pts=1(auto); Liverpool 2-0 Fulham pred=2-5 pts=0(auto); Barcelona 4-1 Espanyol pred=0-1 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=5-2 pts=1(auto) || carol_wc: Arsenal 1-2 Bournemouth pred=0-4 pts=1(auto); Liverpool 2-0 Fulham pred=0-3 pts=0(auto); Barcelona 4-1 Espanyol pred=0-4 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=3-2 pts=1(auto) || Itay_Avioz: Arsenal 1-2 Bournemouth pred=2-0 pts=0; Liverpool 2-0 Fulham pred=0-4 pts=0(auto); Barcelona 4-1 Espanyol pred=3-2 pts=1; Sevilla 2-1 Atletico Madrid pred=1-1 pts=0,alice_wc champion=null top_scorer=Bukayo Saka scorer_goals=0 | bob_wc champion=null top_scorer=null scorer_goals=null | carol_wc champion=null top_scorer=null scorer_goals=null | Itay_Avioz champion=Mexico top_scorer=Kylian Mbappé scorer_goals=0,"{""global_top"":[{""pts"":6,""user"":""bob_wc"",""in_group"":true},{""pts"":4,""user"":""carol_wc"",""in_group"":true},{""pts"":3,""user"":""Itay_Avioz"",""in_group"":true}],""global_zero"":[]}","Alice, 2 points today - two exact calls, but those were all auto. No skill involved when the surprise model files the picks for you.

Bob and Carol are tied with 2 points, but Bob's just a point ahead overall. Time to step up or get left behind.

Itay, 1 point today - a dismal showing, and you actually tried with a 2-0 Arsenal pick while the rest of us laughed at Bournemouth. Auto-picks are your only hope, and even those failed you today.

Your competitors nailed the Liverpool upset while this group completely missed it - is this a group of bad guessers?

Sevilla 2-1 Atletico Madrid: Bob 5-2 (1pt), Alice 4-3 (1pt), Carol 3-2 (1pt), Itay 1-1 (0pts).

Tomorrow's danger: Itay, because a weak champion pick and a streak of -1 brings serious heat."
2026-04-11,Test2,gpt-4o-mini,5148,213,4,2026-04-11 21:40:03.930316+00,"Arsenal 1-2 Bournemouth | scorers: E. J. Kroupi 17', V. Gyokeres 35'(pen), A. Scott 74' || Liverpool 2-0 Fulham | scorers: R. Ngumoha 36', M. Salah 40' || Barcelona 4-1 Espanyol | scorers: F. Torres 9', F. Torres 25', P. Lozano 56', Lamine Yamal 87', M. Rashford 89' || Sevilla 2-1 Atletico Madrid | scorers: A. Adams 10'(pen), J. Bonar 35', N. Gudelj 45+2'",carol_wc rank1 season4 today4 streak1 exacts1 | alice_wc rank2 season2 today2 streak1 exacts0 | Itay_Avioz rank3 season2 today1 streak-1 exacts0,alice_wc: Arsenal 1-2 Bournemouth pred=2-3 pts=1(auto); Liverpool 2-0 Fulham pred=0-3 pts=0(auto); Barcelona 4-1 Espanyol pred=1-2 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=2-0 pts=1(auto) || carol_wc: Arsenal 1-2 Bournemouth pred=1-5 pts=1(auto); Liverpool 2-0 Fulham pred=4-5 pts=0(auto); Barcelona 4-1 Espanyol pred=0-2 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=2-1 pts=3(auto) || Itay_Avioz: Arsenal 1-2 Bournemouth pred=3-1 pts=0; Liverpool 2-0 Fulham pred=1-0 pts=1; Barcelona 4-1 Espanyol pred=2-2 pts=0; Sevilla 2-1 Atletico Madrid pred=2-3 pts=0,alice_wc champion=null top_scorer=null scorer_goals=null | carol_wc champion=null top_scorer=null scorer_goals=null | Itay_Avioz champion=Brazil top_scorer=Julian Álvarez scorer_goals=0,"{""global_top"":[{""pts"":6,""user"":""bob_wc"",""in_group"":false},{""pts"":4,""user"":""carol_wc"",""in_group"":true},{""pts"":3,""user"":""Itay_Avioz"",""in_group"":true}],""global_zero"":[]}","Carol, 4 points - not just a leader in this group, but your exact prediction on Sevilla gives you a slight edge. Still, a 1-5 guess for Arsenal shows your grasp on reality is shaky at best.

Alice, 2 points - you filed all auto predictions today and still managed to misfire on Liverpool. That's a remarkable feat, even in a group like this.

Itay, 1 point - you picked Arsenal to win 3-1 while they lost 1-2. Your manual picks are doing you no favors, and that streak of one correct pick is just sad.

Your group had a chance against the competitors, but no one got the Liverpool upset right. This is a group of bad guessers.

Sevilla 2-1 Atletico Madrid: Carol 2-1 (3pts), Alice 2-3 auto (1pt), Itay 2-3 (0pts).

Tomorrow's danger: Itay, because picking Brazil and getting zero goals today adds to the pressure of being in last place."
2026-04-11,Test3,gpt-4o-mini,5147,193,4,2026-04-11 21:40:11.837623+00,"Arsenal 1-2 Bournemouth | scorers: E. J. Kroupi 17', V. Gyokeres 35'(pen), A. Scott 74' || Liverpool 2-0 Fulham | scorers: R. Ngumoha 36', M. Salah 40' || Barcelona 4-1 Espanyol | scorers: F. Torres 9', F. Torres 25', P. Lozano 56', Lamine Yamal 87', M. Rashford 89' || Sevilla 2-1 Atletico Madrid | scorers: A. Adams 10'(pen), J. Bonar 35', N. Gudelj 45+2'",bob_wc rank1 season2 today2 streak1 exacts0 | zac_ronaldo rank2 season2 today2 streak1 exacts0 | Itay_Avioz rank3 season1 today1 streak-3 exacts0,bob_wc: Arsenal 1-2 Bournemouth pred=0-5 pts=1(auto); Liverpool 2-0 Fulham pred=0-1 pts=0(auto); Barcelona 4-1 Espanyol pred=1-3 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=3-0 pts=1(auto) || Itay_Avioz: Arsenal 1-2 Bournemouth pred=2-5 pts=1(auto); Liverpool 2-0 Fulham pred=1-1 pts=0; Barcelona 4-1 Espanyol pred=0-2 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=0-0 pts=0 || zac_ronaldo: Arsenal 1-2 Bournemouth pred=0-1 pts=1(auto); Liverpool 2-0 Fulham pred=1-4 pts=0(auto); Barcelona 4-1 Espanyol pred=1-5 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=3-2 pts=1(auto),bob_wc champion=null top_scorer=null scorer_goals=null | Itay_Avioz champion=null top_scorer=null scorer_goals=null | zac_ronaldo champion=null top_scorer=null scorer_goals=null,"{""global_top"":[{""pts"":6,""user"":""bob_wc"",""in_group"":true},{""pts"":4,""user"":""carol_wc"",""in_group"":false},{""pts"":3,""user"":""Itay_Avioz"",""in_group"":true}],""global_zero"":[]}","Bob and Zac, both with 2 points today. Bob, you got lucky with an auto pick for Sevilla while predicting Arsenal to get smashed 0-5. Zac, your 0-1 guess for Arsenal was just as ridiculous.

Only 1 point separates Zac and Itay - a tight squeeze that could end in tears tomorrow.

Itay, 1 point today - not just a bad day, but a self-inflicted disaster. You thought Arsenal would lose 2-5 and still managed to miss a 1-1 draw for Liverpool.

This group took a beating with Arsenal and got it wrong while competitors were smarter - are you really this clueless?

Sevilla 2-1 Atletico Madrid: Bob 3-0 auto (1pt), Zac 3-2 (1pt), Itay 0-0 (0pts).

Tomorrow's danger: Itay, because a streak of -3 is a free fall into oblivion."
2026-04-11,Test4,gpt-4o-mini,5305,219,4,2026-04-11 21:40:27.24761+00,"Arsenal 1-2 Bournemouth | scorers: E. J. Kroupi 17', V. Gyokeres 35'(pen), A. Scott 74' || Liverpool 2-0 Fulham | scorers: R. Ngumoha 36', M. Salah 40' || Barcelona 4-1 Espanyol | scorers: F. Torres 9', F. Torres 25', P. Lozano 56', Lamine Yamal 87', M. Rashford 89' || Sevilla 2-1 Atletico Madrid | scorers: A. Adams 10'(pen), J. Bonar 35', N. Gudelj 45+2'",bob_wc rank1 season4 today4 streak1 exacts1 | alice_wc rank2 season2 today2 streak1 exacts0 | carol_wc rank3 season2 today2 streak1 exacts0 | zac_ronaldo rank4 season2 today2 streak1 exacts0,alice_wc: Arsenal 1-2 Bournemouth pred=2-3 pts=1(auto); Liverpool 2-0 Fulham pred=2-4 pts=0(auto); Barcelona 4-1 Espanyol pred=2-4 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=1-0 pts=1(auto) || bob_wc: Arsenal 1-2 Bournemouth pred=1-2 pts=3(auto); Liverpool 2-0 Fulham pred=3-5 pts=0(auto); Barcelona 4-1 Espanyol pred=1-2 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=3-1 pts=1(auto) || carol_wc: Arsenal 1-2 Bournemouth pred=2-3 pts=1(auto); Liverpool 2-0 Fulham pred=1-5 pts=0(auto); Barcelona 4-1 Espanyol pred=0-3 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=5-1 pts=1(auto) || zac_ronaldo: Arsenal 1-2 Bournemouth pred=0-1 pts=1(auto); Liverpool 2-0 Fulham pred=0-1 pts=0(auto); Barcelona 4-1 Espanyol pred=0-1 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=1-0 pts=1(auto),alice_wc champion=null top_scorer=null scorer_goals=null | bob_wc champion=null top_scorer=null scorer_goals=null | carol_wc champion=null top_scorer=null scorer_goals=null | zac_ronaldo champion=null top_scorer=null scorer_goals=null,"{""global_top"":[{""pts"":6,""user"":""bob_wc"",""in_group"":true},{""pts"":4,""user"":""carol_wc"",""in_group"":true},{""pts"":3,""user"":""Itay_Avioz"",""in_group"":false}],""global_zero"":[]}","Bob, 4 points today - not just top of this group, but also leading the whole competition. Your auto predictions somehow got you through, but let’s be real, the luck is suspicious.

Alice and Carol are tied with 2 points, but Alice's auto predictions just barely kept her from being last. It's a tight squeeze - one slip and it’s a complete choke job.

Zac, 2 points - one of four in this group with a zero across the board today. Filing a 0-1 for Arsenal 1-2 is a special kind of wrong, even for an auto.

This group backed Liverpool 100 percent, yet your competitors got the upset right - is this a group of bad guessers?

Arsenal 1-2 Bournemouth: Bob 1-2 (3pts), Alice 2-3 auto (1pt), Carol 2-3 auto (1pt), Zac 0-1 auto (1pt).

Tomorrow's danger: Alice, because with auto predictions keeping you afloat, it's only a matter of time before you sink."
2026-04-11,The Legends,gpt-4o-mini,5148,202,4,2026-04-11 21:40:19.337688+00,"Arsenal 1-2 Bournemouth | scorers: E. J. Kroupi 17', V. Gyokeres 35'(pen), A. Scott 74' || Liverpool 2-0 Fulham | scorers: R. Ngumoha 36', M. Salah 40' || Barcelona 4-1 Espanyol | scorers: F. Torres 9', F. Torres 25', P. Lozano 56', Lamine Yamal 87', M. Rashford 89' || Sevilla 2-1 Atletico Madrid | scorers: A. Adams 10'(pen), J. Bonar 35', N. Gudelj 45+2'",bob_wc rank1 season8 today4 streak3 exacts2 | alice_wc rank2 season5 today2 streak-1 exacts1 | carol_wc rank3 season2 today2 streak-2 exacts0,alice_wc: Arsenal 1-2 Bournemouth pred=4-5 pts=1(auto); Liverpool 2-0 Fulham pred=3-5 pts=0(auto); Barcelona 4-1 Espanyol pred=4-5 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=4-2 pts=1(auto) || bob_wc: Arsenal 1-2 Bournemouth pred=1-3 pts=1(auto); Liverpool 2-0 Fulham pred=3-5 pts=0(auto); Barcelona 4-1 Espanyol pred=0-4 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=2-1 pts=3(auto) || carol_wc: Arsenal 1-2 Bournemouth pred=1-4 pts=1(auto); Liverpool 2-0 Fulham pred=0-5 pts=0(auto); Barcelona 4-1 Espanyol pred=1-4 pts=0(auto); Sevilla 2-1 Atletico Madrid pred=3-0 pts=1(auto),alice_wc champion=Spain top_scorer=Álvaro Morata scorer_goals=0 | bob_wc champion=France top_scorer=Kylian Mbappé scorer_goals=0 | carol_wc champion=Brazil top_scorer=Vinicius Jr scorer_goals=0,"{""global_top"":[{""pts"":6,""user"":""bob_wc"",""in_group"":true},{""pts"":4,""user"":""carol_wc"",""in_group"":true},{""pts"":3,""user"":""Itay_Avioz"",""in_group"":false}],""global_zero"":[]}","Bob, 4 points today - not just leading this group, but suspiciously topping the whole competition. Two exact calls and a strong pick on Sevilla, but it's clear luck played a part in that rescue.

Alice trails with 2 points - you're just 3 behind Bob, but that auto-pilot strategy is making you look more like a spectator than a player. 

Carol, 2 points today - not exactly a thrilling performance. You picked Arsenal to lose 1-4, and they only lost 1-2; even the auto-pick model is questioning your judgment now.

Your group whiffed on the Liverpool upset while competitors nailed it - is this a group of bad guessers? 

Sevilla 2-1 Atletico Madrid: Bob 2-1 (3pts), Carol 3-0 (1pt), Alice 4-2 auto (1pt).

Tomorrow's danger: Alice, because you’re on a -1 streak and your picks are on autopilot."
2026-04-12,Test,gpt-4o-mini,5319,196,4,2026-04-12 21:30:17.659615+00,"Osasuna 1-1 Real Betis | scorers: A. Ezzalzouli 7', A. Budimir 40'(pen) || Crystal Palace 2-1 Newcastle | scorers: W. Osula 43', J. Mateta 80', J. Mateta 90+4'(pen) || Chelsea 0-3 Manchester City | scorers: N. O'Reilly 51', M. Guehi 57', J. Doku 68' || Athletic Club 1-2 Villarreal | scorers: S. Cardona 26', A. Gonzalez 45+5', G. Guruzeta 84'",alice_wc rank1 season11 today3 streak3 exacts2 | carol_wc rank2 season7 today5 streak3 exacts1 | bob_wc rank3 season7 today3 streak3 exacts0 | Itay_Avioz rank4 season5 today3 streak-3 exacts1,alice_wc: Osasuna 1-1 Real Betis pred=2-1 pts=0(auto); Crystal Palace 2-1 Newcastle pred=2-0 pts=1(auto); Chelsea 0-3 Manchester City pred=0-4 pts=1(auto); Athletic Club 1-2 Villarreal pred=0-5 pts=1(auto) || bob_wc: Osasuna 1-1 Real Betis pred=4-2 pts=0(auto); Crystal Palace 2-1 Newcastle pred=2-0 pts=1(auto); Chelsea 0-3 Manchester City pred=1-2 pts=1(auto); Athletic Club 1-2 Villarreal pred=0-3 pts=1(auto) || carol_wc: Osasuna 1-1 Real Betis pred=5-4 pts=0(auto); Crystal Palace 2-1 Newcastle pred=4-0 pts=1(auto); Chelsea 0-3 Manchester City pred=1-4 pts=1(auto); Athletic Club 1-2 Villarreal pred=1-2 pts=3(auto) || Itay_Avioz: Osasuna 1-1 Real Betis pred=1-1 pts=3; Crystal Palace 2-1 Newcastle pred=1-2 pts=0; Chelsea 0-3 Manchester City pred=3-3 pts=0; Athletic Club 1-2 Villarreal pred=1-0 pts=0,alice_wc champion=null top_scorer=Bukayo Saka scorer_goals=0 | bob_wc champion=null top_scorer=null scorer_goals=null | carol_wc champion=null top_scorer=null scorer_goals=null | Itay_Avioz champion=Mexico top_scorer=Kylian Mbappé scorer_goals=0,"{""global_top"":[{""pts"":5,""user"":""Itay_Avioz"",""in_group"":true},{""pts"":5,""user"":""alice_wc"",""in_group"":true},{""pts"":5,""user"":""carol_wc"",""in_group"":true}],""global_zero"":[]}","Alice, 3 points - two exacts today, but let's be real, you needed the surprise model's help to get there. Three straight wins are looking a bit suspicious.

Carol, 5 points today, chasing Alice like a shadow. Just remember, pressure makes diamonds, but it might also make you choke.

Itay, 3 points - one of four to miss out on a prediction today. You thought 1-0 for Athletic Club was a stroke of genius, but it turns out that was just delusion.

Your group predicted the Osasuna draw while competitors nailed it - is this a group of bad guessers? 

Athletic Club 1-2 Villarreal: Carol 1-2 (3pts), Itay 1-0 (0pts), Alice 0-5 (1pt), Bob 0-3 (1pt).

Tomorrow's danger: Itay, because that -3 streak is a structural collapse waiting to happen."
2026-04-12,Test2,gpt-4o-mini,5149,239,4,2026-04-12 21:30:27.763975+00,"Osasuna 1-1 Real Betis | scorers: A. Ezzalzouli 7', A. Budimir 40'(pen) || Crystal Palace 2-1 Newcastle | scorers: W. Osula 43', J. Mateta 80', J. Mateta 90+4'(pen) || Chelsea 0-3 Manchester City | scorers: N. O'Reilly 51', M. Guehi 57', J. Doku 68' || Athletic Club 1-2 Villarreal | scorers: S. Cardona 26', A. Gonzalez 45+5', G. Guruzeta 84'",alice_wc rank1 season7 today5 streak3 exacts1 | carol_wc rank2 season7 today3 streak3 exacts1 | Itay_Avioz rank3 season2 today0 streak-6 exacts0,alice_wc: Osasuna 1-1 Real Betis pred=5-1 pts=0(auto); Crystal Palace 2-1 Newcastle pred=5-1 pts=1(auto); Chelsea 0-3 Manchester City pred=0-2 pts=1(auto); Athletic Club 1-2 Villarreal pred=1-2 pts=3(auto) || carol_wc: Osasuna 1-1 Real Betis pred=1-0 pts=0(auto); Crystal Palace 2-1 Newcastle pred=1-0 pts=1(auto); Chelsea 0-3 Manchester City pred=0-4 pts=1(auto); Athletic Club 1-2 Villarreal pred=0-5 pts=1(auto) || Itay_Avioz: Osasuna 1-1 Real Betis pred=2-3 pts=0; Crystal Palace 2-1 Newcastle pred=2-2 pts=0; Chelsea 0-3 Manchester City pred=2-1 pts=0; Athletic Club 1-2 Villarreal pred=1-1 pts=0,alice_wc champion=null top_scorer=null scorer_goals=null | carol_wc champion=null top_scorer=null scorer_goals=null | Itay_Avioz champion=Brazil top_scorer=Julian Álvarez scorer_goals=0,"{""global_top"":[{""pts"":5,""user"":""Itay_Avioz"",""in_group"":true},{""pts"":5,""user"":""alice_wc"",""in_group"":true},{""pts"":5,""user"":""carol_wc"",""in_group"":true}],""global_zero"":[]}","Alice, 5 points - tied for the top today, but your automatic picks scream negligence. You might want to thank your lucky stars for that 3-0 scoreline from your champion pick, or just admit you got lucky.

Carol, also at 3 points - not quite the powerhouse you hoped for, but at least you didn't let the surprise model do all the heavy lifting. Still, predicting a 0-5 loss for Villarreal is ambitious, even for you.

Itay, 0 points and a six-game streak of wrong predictions - that's not just failure, it's structural collapse. You filed a 2-3 prediction for a 1-1 draw, and somehow got it even more wrong than the model could have.

Your group missed the upset with Osasuna 1-1 while other groups nailed it - is this a group of bad guessers? 

Chelsea 0-3 Manchester City: Alice 0-2 (1pt auto), Carol 0-4 (1pt auto), Itay 2-1 (0pts).

Tomorrow's danger: Itay, because at this rate, you might just become a permanent resident at the bottom."
2026-04-12,Test3,gpt-4o-mini,5147,204,4,2026-04-12 21:30:34.167987+00,"Osasuna 1-1 Real Betis | scorers: A. Ezzalzouli 7', A. Budimir 40'(pen) || Crystal Palace 2-1 Newcastle | scorers: W. Osula 43', J. Mateta 80', J. Mateta 90+4'(pen) || Chelsea 0-3 Manchester City | scorers: N. O'Reilly 51', M. Guehi 57', J. Doku 68' || Athletic Club 1-2 Villarreal | scorers: S. Cardona 26', A. Gonzalez 45+5', G. Guruzeta 84'",zac_ronaldo rank1 season7 today5 streak3 exacts1 | bob_wc rank2 season5 today3 streak3 exacts0 | Itay_Avioz rank3 season4 today3 streak2 exacts0,bob_wc: Osasuna 1-1 Real Betis pred=1-0 pts=0(auto); Crystal Palace 2-1 Newcastle pred=3-0 pts=1(auto); Chelsea 0-3 Manchester City pred=1-4 pts=1(auto); Athletic Club 1-2 Villarreal pred=0-3 pts=1(auto) || Itay_Avioz: Osasuna 1-1 Real Betis pred=2-2 pts=1; Crystal Palace 2-1 Newcastle pred=0-1 pts=0; Chelsea 0-3 Manchester City pred=1-2 pts=1; Athletic Club 1-2 Villarreal pred=0-2 pts=1 || zac_ronaldo: Osasuna 1-1 Real Betis pred=4-2 pts=0(auto); Crystal Palace 2-1 Newcastle pred=1-0 pts=1(auto); Chelsea 0-3 Manchester City pred=0-3 pts=3(auto); Athletic Club 1-2 Villarreal pred=0-5 pts=1(auto),bob_wc champion=null top_scorer=null scorer_goals=null | Itay_Avioz champion=null top_scorer=null scorer_goals=null | zac_ronaldo champion=null top_scorer=null scorer_goals=null,"{""global_top"":[{""pts"":5,""user"":""Itay_Avioz"",""in_group"":true},{""pts"":5,""user"":""alice_wc"",""in_group"":false},{""pts"":5,""user"":""carol_wc"",""in_group"":false}],""global_zero"":[]}","Zac, 5 points - not just a leader in this group, but your 3 points on Chelsea's embarrassment might have you feeling like a genius. But let's be real, auto-picking your way to glory is hardly impressive.

Only 2 points separate you and Bob - close enough for him to stalk you, and close enough for you to choke at any moment.

Bob, 3 points today - not exactly a stellar performance. You filed a 1-0 for a 1-1 in Osasuna and let the surprise model do all the heavy lifting with your auto picks.

Your group whiffed on the Osasuna draw while competitors got that right - is this a group of bad guessers?

Chelsea 0-3 Manchester City: Zac 0-3 (3pts), Bob 1-4 auto (1pt), Itay 1-2 (1pt).

Tomorrow's danger: Bob, because relying on the surprise model and auto-picks is a recipe for disaster."
2026-04-12,Test4,gpt-4o-mini,5309,192,4,2026-04-12 21:30:47.307536+00,"Osasuna 1-1 Real Betis | scorers: A. Ezzalzouli 7', A. Budimir 40'(pen) || Crystal Palace 2-1 Newcastle | scorers: W. Osula 43', J. Mateta 80', J. Mateta 90+4'(pen) || Chelsea 0-3 Manchester City | scorers: N. O'Reilly 51', M. Guehi 57', J. Doku 68' || Athletic Club 1-2 Villarreal | scorers: S. Cardona 26', A. Gonzalez 45+5', G. Guruzeta 84'",bob_wc rank1 season7 today3 streak3 exacts1 | alice_wc rank2 season5 today3 streak3 exacts0 | carol_wc rank3 season5 today3 streak3 exacts0 | zac_ronaldo rank4 season5 today3 streak3 exacts0,alice_wc: Osasuna 1-1 Real Betis pred=2-0 pts=0(auto); Crystal Palace 2-1 Newcastle pred=4-0 pts=1(auto); Chelsea 0-3 Manchester City pred=3-4 pts=1(auto); Athletic Club 1-2 Villarreal pred=4-5 pts=1(auto) || bob_wc: Osasuna 1-1 Real Betis pred=5-1 pts=0(auto); Crystal Palace 2-1 Newcastle pred=4-1 pts=1(auto); Chelsea 0-3 Manchester City pred=1-2 pts=1(auto); Athletic Club 1-2 Villarreal pred=0-2 pts=1(auto) || carol_wc: Osasuna 1-1 Real Betis pred=4-1 pts=0(auto); Crystal Palace 2-1 Newcastle pred=1-0 pts=1(auto); Chelsea 0-3 Manchester City pred=0-4 pts=1(auto); Athletic Club 1-2 Villarreal pred=0-1 pts=1(auto) || zac_ronaldo: Osasuna 1-1 Real Betis pred=4-2 pts=0(auto); Crystal Palace 2-1 Newcastle pred=5-1 pts=1(auto); Chelsea 0-3 Manchester City pred=3-4 pts=1(auto); Athletic Club 1-2 Villarreal pred=0-3 pts=1(auto),alice_wc champion=null top_scorer=null scorer_goals=null | bob_wc champion=null top_scorer=null scorer_goals=null | carol_wc champion=null top_scorer=null scorer_goals=null | zac_ronaldo champion=null top_scorer=null scorer_goals=null,"{""global_top"":[{""pts"":5,""user"":""Itay_Avioz"",""in_group"":false},{""pts"":5,""user"":""alice_wc"",""in_group"":true},{""pts"":5,""user"":""carol_wc"",""in_group"":true}],""global_zero"":[]}","Bob, 3 points - not just leading this group but on a suspicious three-game streak. Your auto predictions must be on point since they seem to be the only reason you're still here.

Only 2 points separate Alice and Carol - pressure's on, and the chance for a choke is real. 

Zac, 3 points today - and yet you still managed to file a 4-2 for a 1-1 Osasuna draw. Auto-pick or not, that's a spectacular failure.

Your group missed the Osasuna upset while other groups nailed it - is this a group of bad guessers? 

Chelsea 0-3 Manchester City: Bob 1-2 (1pt), Carol 0-4 (1pt), Zac 3-4 (1pt), Alice 0-0 auto (0pts).

Tomorrow's danger: Alice, because auto-picking your way to a tie won't cut it against the competition."
2026-04-12,The Legends,gpt-4o-mini,5149,188,4,2026-04-12 21:30:40.637235+00,"Osasuna 1-1 Real Betis | scorers: A. Ezzalzouli 7', A. Budimir 40'(pen) || Crystal Palace 2-1 Newcastle | scorers: W. Osula 43', J. Mateta 80', J. Mateta 90+4'(pen) || Chelsea 0-3 Manchester City | scorers: N. O'Reilly 51', M. Guehi 57', J. Doku 68' || Athletic Club 1-2 Villarreal | scorers: S. Cardona 26', A. Gonzalez 45+5', G. Guruzeta 84'",bob_wc rank1 season11 today3 streak5 exacts2 | alice_wc rank2 season8 today3 streak-1 exacts1 | carol_wc rank3 season5 today3 streak-2 exacts0,alice_wc: Osasuna 1-1 Real Betis pred=2-1 pts=0(auto); Crystal Palace 2-1 Newcastle pred=1-0 pts=1(auto); Chelsea 0-3 Manchester City pred=3-5 pts=1(auto); Athletic Club 1-2 Villarreal pred=3-4 pts=1(auto) || bob_wc: Osasuna 1-1 Real Betis pred=4-2 pts=0(auto); Crystal Palace 2-1 Newcastle pred=1-0 pts=1(auto); Chelsea 0-3 Manchester City pred=0-4 pts=1(auto); Athletic Club 1-2 Villarreal pred=0-3 pts=1(auto) || carol_wc: Osasuna 1-1 Real Betis pred=3-0 pts=0(auto); Crystal Palace 2-1 Newcastle pred=2-0 pts=1(auto); Chelsea 0-3 Manchester City pred=2-3 pts=1(auto); Athletic Club 1-2 Villarreal pred=4-5 pts=1(auto),alice_wc champion=Spain top_scorer=Álvaro Morata scorer_goals=0 | bob_wc champion=France top_scorer=Kylian Mbappé scorer_goals=0 | carol_wc champion=Brazil top_scorer=Vinicius Jr scorer_goals=0,"{""global_top"":[{""pts"":5,""user"":""Itay_Avioz"",""in_group"":false},{""pts"":5,""user"":""alice_wc"",""in_group"":true},{""pts"":5,""user"":""carol_wc"",""in_group"":true}],""global_zero"":[]}","Bob, 3 points today - on a five-game winning streak, suspiciously good timing for you. Not just luck when the surprise model is filing your picks.

Alice and Carol are tied at 8 points, and that’s a choke risk for you both with Bob shadowing. 

Carol, 3 points today - not too bad, but 0-3 for your Osasuna pick is a complete disaster. The surprise model filed that one, but you still managed to miss the mark.

Your group missed every exact score today, while other groups were picking up easy points. Is this group just a bunch of bad guessers?

Crystal Palace 2-1 Newcastle: Bob 1-0 (1pt), Alice 1-0 auto (1pt), Carol 2-0 auto (1pt). 

Tomorrow's danger: Alice, because with a -1 streak, the pressure is on to avoid another collapse."
